dataset_id,dataset_order,dataset_name,presence_only_flag,exclude,theme,use_for_risk
10,10,EUFO_2020,0,0,treecover,1
20,20,GLAD_Primary,0,0,treecover,1
30,30,TMF_undist,0,0,treecover,1
40,40,JAXA_FNF_2020,0,0,treecover,1
50,50,GFC_TC_2020,0,0,treecover,1
60,60,Forest_FDaP,0,0,treecover,1
70,70,ESA_TC_2020,0,0,treecover,1
80,80,TMF_plant,0,0,commodities,1
90,90,Oil_palm_Descals,0,0,commodities,1
100,100,Oil_palm_FDaP,0,0,commodities,1
110,110,Cocoa_FDaP,0,0,commodities,1
120,120,Cocoa_ETH,0,0,commodities,1
130,130,Cocoa_bnetd,0,0,commodities,1
140,140,Rubber_FDaP,0,0,commodities,1
150,150,Rubber_RBGE,0,0,commodities,1
160,160,WDPA,1,1,ancilliary,
170,170,KBA,1,1,ancilliary,
180,180,TMF_def_2000,0,0,disturbance_before,
190,190,TMF_def_2001,0,0,disturbance_before,
200,200,TMF_def_2002,0,0,disturbance_before,
210,210,TMF_def_2003,0,0,disturbance_before,
220,220,TMF_def_2004,0,0,disturbance_before,
230,230,TMF_def_2005,0,0,disturbance_before,
240,240,TMF_def_2006,0,0,disturbance_before,
250,250,TMF_def_2007,0,0,disturbance_before,
260,260,TMF_def_2008,0,0,disturbance_before,
270,270,TMF_def_2009,0,0,disturbance_before,
280,280,TMF_def_2010,0,0,disturbance_before,
290,290,TMF_def_2011,0,0,disturbance_before,
300,300,TMF_def_2012,0,0,disturbance_before,
310,310,TMF_def_2013,0,0,disturbance_before,
320,320,TMF_def_2014,0,0,disturbance_before,
330,330,TMF_def_2015,0,0,disturbance_before,
340,340,TMF_def_2016,0,0,disturbance_before,
350,350,TMF_def_2017,0,0,disturbance_before,
360,360,TMF_def_2018,0,0,disturbance_before,
370,370,TMF_def_2019,0,0,disturbance_before,
380,380,TMF_def_2020,0,0,disturbance_before,
390,390,TMF_def_2021,0,0,disturbance_after,
400,400,TMF_def_2022,0,0,disturbance_after,
410,410,TMF_def_2023,0,0,disturbance_after,
420,420,TMF_deg_2000,0,0,disturbance_before,
430,430,TMF_deg_2001,0,0,disturbance_before,
440,440,TMF_deg_2002,0,0,disturbance_before,
450,450,TMF_deg_2003,0,0,disturbance_before,
460,460,TMF_deg_2004,0,0,disturbance_before,
470,470,TMF_deg_2005,0,0,disturbance_before,
480,480,TMF_deg_2006,0,0,disturbance_before,
490,490,TMF_deg_2007,0,0,disturbance_before,
500,500,TMF_deg_2008,0,0,disturbance_before,
510,510,TMF_deg_2009,0,0,disturbance_before,
520,520,TMF_deg_2010,0,0,disturbance_before,
530,530,TMF_deg_2011,0,0,disturbance_before,
540,540,TMF_deg_2012,0,0,disturbance_before,
550,550,TMF_deg_2013,0,0,disturbance_before,
560,560,TMF_deg_2014,0,0,disturbance_before,
570,570,TMF_deg_2015,0,0,disturbance_before,
580,580,TMF_deg_2016,0,0,disturbance_before,
